,posts,token
224,#情侣同居房租该不该AA制##恋爱#可以男方付啊 女方负责其他日常开销就完了 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 可以 男方 付 啊   女方 负责 其他 日常 开销 就 完 了   网页 链接
225,"我推荐了@逗梗说事儿 提出的问题""该由男方付?""居房租该不该AA制##恋爱#对于“情侣同居，房租该不该AA”这个问题，一直以来都是...，已有@CX满 @happy热哥 @吓得我又搞笑了 等人回答，等你围观。更多内容，欢迎锁定@微博问答 >> 情侣同居房租应该怎么算?是否该由男方付?",我 推荐 了   逗 梗 说 事儿   提出 的 问题   该 由 男方 付    居 房租 该不该 不该 AA 制 ## 恋爱 # 对于   情侣 同居   房租 该不该 不该 AA  这个 问题   一直 以来 都 是      已有  CX 满   happy 热 哥    吓 得 我 又 搞笑 了   等 人 回答   等 你 围观   更多 内容   欢迎 锁定   微 博 问答      情侣 同居 房租 应该 怎么 算   是否 该 由 男方 付  
226,#情侣同居房租该不该AA制##恋爱#AA制 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 #AA 制   网页 链接
227,#情侣同居房租该不该AA制##恋爱#这问题也太简单粗暴了，涉及很多因素啊，最主要是二者平衡、平等。 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 这 问题 也 太 简单 粗暴 了   涉及 很多 因素 啊   最 主要 要是 二者 平衡   平等    网页 链接
228,#情侣同居房租该不该AA制##恋爱#这个问题就没有准确答案，情侣之间的财产不共有。如何支配是自己的问题，只要双方达成协议就好。从平等的角度讲一人一半没有问题。但是两个人在一起涉及到的费用没办法完全AA计算。就说水电，女生可能每天要洗澡，男生可能每天晚上抱着笔记本打三四个小时游戏，你要是说 ...全文,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 这个 问题 就 没有 准确 答案   情侣 之间 的 财产 不 共有   如何 支配 是 自己 的 问题   只要 双方 达成 达成协议 协议 就 好   从 平等 的 角度 讲 一 人 一半 没有 问题   但是 两个 个人 在 一起 涉及 到 的 费用 没办 办法 完全 AA 计算   就 说 水电   女生 可能 每天 要 洗澡   男生 可能 每天 每天晚上 晚上 抱 着 笔记 笔记本 打 三四 三四个 四个 小时 游戏   你 要是 说      全文
229,"#情侣同居房租该不该AA制##恋爱#
个人不提倡提出AA房租费，可以不用这么绝对的对等，男生付房租费，那女生就可以在生活日常开销上支付，情侣之间在一起，应该互相理解，互相分担。
如果房费AA，那吃饭，逛街，礼物等方面都要AA，两个人在一起不需要分的清，但是要学会替对方着想。 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 #
 个人 不 提倡 提出 AA 房租 房租费 租费   可以 不用 这么 绝对 的 对 等   男生 付 房租 房租费 租费   那 女生 生就 可以 在 生活 日常 开销 上 支付   情侣 之间 在 一起   应该 互相 互相理解 理解   互相 相分 分担  
 如果 房费 AA  那 吃饭   逛街   礼物 等 方面 都 要 AA  两个 个人 在 一起 不 需要 分 的 清   但是 要 学会 替 对方 着想       全文"
230,"#情侣同居房租该不该AA制##恋爱#
如果是我的话
我要是有男盆友的话
并且已经要到了谈婚论嫁的时候的话
跟男朋友同居租房
我肯定是要AA的
就算以后结婚也是要经济独立的
更别说还没结婚了
还没结婚租房之类的费用如果由男方负担
自己未免显得太没有底气了
该我付的我就会付
如果以感情相胁避开经济负担
...全文","# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 #
 如果 是 我 的话 
 我 要是 有 男 盆 友 的话 
 并且 已经 要到 了 谈婚论嫁 的 时候 的话 
 跟 男朋友 朋友 同居 租房 
 我 肯定 是 要 AA 的 
 就算 以后 结婚 也 是 要 经济 独立 的 
 更 别说 还 没 结婚 了 
 还 没 结婚 租房 之类 的 费用 如果 由 男方 负担 
 自己 己未 未免 显得 太 没有 有底 底气 了 
 该 我 付 的 我 就 会付 
 如果 以 感情 相 胁 避开 经济 经济负担 负担 
    全文"
231,#情感百问# 你觉得情侣同居后的房租该AA制吗？应该怎么算比较合适呢？,# 情感 百 问 #  你 觉得 情侣 同居 后 的 房租 该 AA 制 吗   应该 怎么 算 比较 合适 呢  
232,#情侣同居房租该不该AA制##恋爱#双方高兴就好 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 双方 高兴 就 好   网页 链接
233,#情侣同居房租该不该AA制##恋爱#每对情侣??的观念都不同，所以不同情况不同处理方式呗。没有一个标准的答案。也不必重视别人对自己两个人的处理方式的看法。毕竟两个人谈恋爱，其他人管的着嘛！！ 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 每 对 情侣    的 观念 都 不同   所以 不同 同情 情况 不同 处理 处理方式 方式 呗   没有 一个 标准 的 答案   也 不必 重视 别人 对 自己 两个 个人 的 处理 处理方式 方式 的 看法   毕竟 两个 个人 谈恋爱 恋爱   其他 其他人 他人 管 的 着 嘛     网页 链接
234,#情侣同居房租该不该AA制##恋爱#我觉得AA不是只限制于房租吧 是说AA制生活 比如我洗完男朋友就得做饭 我洗衣服他就要叠衣服 我在忙孩子他就得把家里宠物收拾好 租金如果他付 我会付责比如每个月买菜和零食费用这些 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 我 觉得 AA 不是 只限 限制 于 房租 吧   是 说 AA 制 生活   比如 我 洗完 男朋友 朋友 就 得 做饭   我 洗衣 洗衣服 衣服 他 就要 叠 衣服   我 在 忙 孩子 他 就 得 把 家里 宠物 收拾 好   租金 如果 他 付   我会 会付 责 比如 每个 月 买菜 和 零食 费用 这些   网页 链接
235,#情侣同居房租该不该AA制#嗯,# 情侣 同居 房租 该不该 不该 AA 制 # 嗯
236,#情侣同居房租该不该AA制##恋爱#以结婚为目的，钱基本就会放在某一个人那里进行统一规划，为未来生活做好准备，就无所谓谁出钱了。如果双方只是在一起，那就看双方自愿了，双方都很独立，就AA，女性依附男性就男方付。男性愿意自己承担表示自己的实力，那就男方付。情况不同，哪有明确统一的答案。 ...全文,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 以 结婚 为 目的   钱 基本 就 会 放在 某 一个 个人 那里 进行 统一 统一规划 规划   为 未来 来生 生活 做好 准备   就 无所 无所谓 所谓 谁 出钱 了   如果 双方 只是 在 一起   那 就 看 双方 自愿 了   双方 都 很 独立   就 AA  女性 依附 男性 就 男方 付   男性 愿意 自己 承担 表示 自己 的 实力   那 就 男方 付   情况 不同   哪 有 明确 统一 的 答案       全文
237,#情侣同居房租该不该AA制##恋爱#那肯定是男方了！站着便宜还不掏钱，要他干嘛！ 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 那 肯定 是 男方 了   站 着 便宜 还 不 掏钱   要 他 干嘛    网页 链接
238,邀请知乎回答一下今天热门话题 #情侣同居房租该不该aa制#,邀请 知 乎 回答 一下 今天 热门 热门话题 话题  # 情侣 同居 房租 该不该 不该 aa 制 #
239,#情侣同居房租该不该AA制##恋爱#正常应该由男人来主持经济问题吧，但由于不是夫妻关系还是看个人意愿比较好，如果感情深点男生付房租应该没问题的啵！ 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 正常 应该 由 男人 来 主持 经济 问题 吧   但 由于 不是 夫妻 夫妻关系 关系 还是 看 个人 人意 意愿 比较 好   如果 感情 情深 深点 男生 付 房租 应该 没 问题 的 啵    网页 链接
240,#情侣同居房租该不该AA制#一切都算的那么清楚感情就会有偏差了 北安市,# 情侣 同居 房租 该不该 不该 AA 制 # 一切 都 算 的 那么 清楚 感情 就 会 有 偏差 了   北安 北安市
241,#情侣同居房租该不该AA制##恋爱#a 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 #a  网页 链接
242,#情侣同居房租该不该AA制##恋爱#看情况吧，最好是大家分摊 如果女方有工作的话 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 看 情况 吧   最好 是 大家 分摊   如果 女方 有 工作 的话   网页 链接
243,#情侣同居房租该不该AA制##恋爱#我觉的两个人在一起租房两个一起了生活不用应该算的很清楚，两个人过好生活相扶过好生活就行了 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 我 觉 的 两个 个人 在 一起 起租 租房 两个 一起 了 生活 不用 应该 算 的 很 清楚   两个 个人 过 好生 生活 相扶 过 好生 生活 就行了   网页 链接
244,"#情侣同居房租该不该AA制##恋爱#
这就应该是具体情况具体分析了，但是我还是觉得应该""应当在生活用品或者是其他的方面出资，毕竟不是结婚，虽然只是同居，财产可能也没有分得特别清楚，但是我觉得还是要秉持着互相理解，互相给予 ...全文文全文由由男方付?","# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 #
 这 就 应该 该是 具体 具体情况 情况 具体 具体分析 分析 了   但是 我 还是 觉得 应该   应当 当在 生活 生活用品 活用 用品 或者 是 其他 的 方面 出资   毕竟 不是 结婚   虽然 只是 同居   财产 可能 也 没有 分得 特别 清楚   但是 我 觉得 还是 要 秉持 秉持着 互相 互相理解 理解   互相 给予      全文 文文 全文 由 由 男方 付  "
245,#情侣同居房租该不该AA制##恋爱#必须由男方支付，要不然付出的太多了！ 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 必须 由 男方 支付   要不然 不然 付出 的 太多 了    网页 链接
246,"怎么挽回前男友男朋友超话 找出分手原因，加大挽回希望
分手后想要挽回男友，那么你记得明白一个问题，两个人在一起为什么会分手？导致分手的原因是什么？想想是否是因为性格不合，双方吵架不愿和解，家庭阻力，小三介入，身上坏毛病太多，占有欲太强，没有给他私人空间，只有找出分手原因，你才知 ...全文","怎么 挽回 前男友 男友 男朋友 朋友 超 话   找出 分手 原因   加大 挽回 希望 
 分手 后 想要 挽回 男友   那么 你 记得 明白 一个 问题   两个 个人 在 一起 为什么 什么 会分 分手   导致 分手 的 原因 是 什么   想想 是否 是否是 是因为 因为 性格 性格不合 不合   双方 吵架 不 愿 和解   家庭 阻力   小三 介入   身上 坏毛病 毛病 太多   占有 占有欲 太 强   没有 给 他 私人 空间   只有 找出 分手 原因   你 才 知      全文"
247,#情侣同居房租该不该AA制##恋爱#AA吧，全部男方付的话，总觉得会欠对方什么，会有种不平等的感觉，女方做什么很可能都会被付款的男方理解为应当的。个人觉得这样不太好。 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 #AA 吧   全部 男方 付 的话   总觉 觉得 会 欠 对方 什么   会 有种 不平 平等 的 感觉   女方 做 什么 很 可能 都 会 被 付款 的 男方 方理 理解 为 应当 的   个人 觉得 这样 不太好    网页 链接
248,#情侣同居房租该不该AA制#AA不是最重要的，最重要的是沟通，或许女生提出AA男生还不乐意了，他就不想你花钱。所以有事先沟通，找到彼此都舒服的方式去相处,# 情侣 同居 房租 该不该 不该 AA 制 #AA 不是 最重 重要 的   最重 重要 的 是 沟通   或许 女生 提出 AA 男生 生还 不乐 不乐意 乐意 了   他 就 不想 你 花钱   所以 有事 事先 沟通   找到 彼此 都 舒服 的 方式 去 相处
249,"#情侣同居房租该不该AA制#
有的女的就说了
如果AA制我为啥不自己租
天高海阔任我飞
跟男朋友住
饭是我煮地是我拖
衣服是洗衣机洗
请问他干了什么呢
我修灯泡的时候给我递灯泡
还是我通马桶的时候给我递筛子？","# 情侣 同居 房租 该不该 不该 AA 制 #
 有 的 女 的 就 说 了 
 如果 AA 制 我 为啥 不自 自己 租 
 天 高 海 阔 任 我 飞 
 跟 男朋友 朋友 住 
 饭 是 我 煮 地 是 我 拖 
 衣服 是 洗衣 洗衣机 洗 
 请问 他 干 了 什么 呢 
 我 修 灯泡 的 时候 给 我 递 灯泡 
 还是 我 通 马桶 的 时候 给 我 递 筛子  "
250,"#情侣同居房租该不该aa制# 这个问题简直是千古难题，有人觉得男生出点钱怎么了？有人说又没结婚为啥要男生出钱？
红妹觉得，钱肯定是两边都要出的，如果各自喜欢aa那就aa，觉得aa不好听但是又不想都一方出怕影响感情，那就男生出房租，女生出水电费和平时买些小零食买些菜 ...全文","# 情侣 同居 房租 该不该 不该 aa 制 #  这个 问题 简直 是 千古 难题   有人 觉得 男生 生出 出点 钱 怎么 了   有人 说 又 没 结婚 为啥 要 男生 生出 出钱  
 红 妹 觉得   钱 肯定 是 两边 都 要 出 的   如果 各自 喜欢 aa 那 就 aa  觉得 aa 不好 好听 但是 又 不想 都 一方 出 怕 影响 感情   那 就 男生 生出 房租   女生 生出 出水 水电 水电费 电费 和平 平时 买些 些小 零食 买些 菜      全文"
251,#情侣同居房租该不该AA制##恋爱#是由男方付 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 是 由 男方 付   网页 链接
252,#情侣同居房租该不该AA制#该,# 情侣 同居 房租 该不该 不该 AA 制 # 该
253,#情侣同居房租该不该AA制#不该,# 情侣 同居 房租 该不该 不该 AA 制 # 不该
254,"#情侣同居房租该不该AA制#当然要！
两性关系里面本来就有太多分不清的事情，所以能分清就一定要分清。
大家都是上班族，没有谁比谁容易，当然支出AA了，咱们家务什么的也得商量着来。
女生不是家政阿姨，也别想着什么“按劳付费”了。
亲密关系，也该是协同作战的伙伴，生活本就不易，所以才要彼此分担 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 # 当然 要  
 两性 两性关系 性关系 关系 系里 里面 本来 就 有 太多 多分 分不清 的 事情   所以 能 分清 就 一定 定要 分清  
 大家 都 是 上班 上班族   没有 谁 比 谁 容易   当然 支出 AA 了   咱们 家务 什么 的 也 得 商量 着 来  
 女生 不是 家政 阿姨   也 别 想着 什么   按 劳 付费   了  
 亲密 亲密关系 关系   也 该是 协同 协同作战 作战 的 伙伴   生活 本 就 不易   所以 才 要 彼此 分担      全文"
255,#情侣同居房租该不该AA制#个人觉得无所谓，谁付或者AA，或者谁多付谁少付，这都不是问题好不好，重要的是相互体贴，以心换心好不好，情侣还计较这个问题的话，一定是没感觉了，感情破裂了。,# 情侣 同居 房租 该不该 不该 AA 制 # 个人 觉得 无所 无所谓 所谓   谁 付 或者 AA  或者 谁 多付 谁 少付   这 都 不是 问题 好不好 不好   重要 的 是 相互 体贴   以 心 换心 好不好 不好   情侣 还 计较 这个 问题 的话   一定 是 没 感觉 了   感情 感情破裂 破裂 了  
256,"#情侣同居房租该不该AA制##恋爱#

恋爱就想腻在一起而同居，还是因为想结婚而进行婚前试爱，亦或是根本没有结婚想法，感情基础也不牢靠，同居只是为了满足利益最大化，比如节省房租，分担家务以及满足生理需求，这些是应该在婚前要想清楚的，也需要提前沟通好。 情侣同居房租应该怎么算?是否该由男方付?","# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 #

 恋爱 就 想 腻在一起 一起 而 同居   还是 是因为 因为 想 结婚 而 进行 婚前 试 爱   亦 或是 根本 没有 结婚 想法   感情 基础 也 不 牢靠   同居 只是 为了 满足 利益 最大 最大化 大化   比如 节省 房租   分担 家务 以及 满足 生理 生理需求 需求   这些 是 应该 在 婚前 要 想 清楚 的   也 需要 提前 沟通 通好    情侣 同居 房租 应该 怎么 算   是否 该 由 男方 付  "
257,#情侣同居房租该不该AA制#如果都是男生出，你决定男生还有多少余粮？,# 情侣 同居 房租 该不该 不该 AA 制 # 如果 都 是 男生 生出   你 决定 男生 生还 还有 多少 余粮  
258,"#情侣同居房租该不该AA制#看着网上的各种谈恋爱的问题，应不应该，付出多少，怎么公平，应该怎样。这一类的，不禁中感到了这所谓的爱情都要权衡利弊，生怕自己损失了什么。对于感情不想付出太多要求平衡，感情本身就不是公平的事情。
既然能问出这些话来，那也表明接下来你们会有，什么你出多少 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 # 看着 网上 的 各种 谈恋爱 恋爱 的 问题   应不应该 不应 应该   付出 多少   怎么 公平   应该 怎样   这 一类 的   不禁 中 感到 了 这 所谓 的 爱情 都 要 权衡 权衡利弊 利弊   生怕 自己 损失 了 什么   对于 感情 不想 付出 太多 要求 平衡   感情 本身 就 不是 公平 的 事情  
 既然 能 问出 这些 话 来   那 也 表明 接下 接下来 下来 你们 会 有   什么 你 出 多少      全文"
259,#情侣同居房租该不该aa制# 生活方式是自己选的 而且至少两个人得互相信任并且做出相同的选择,# 情侣 同居 房租 该不该 不该 aa 制 #  生活 方式 是 自己 选 的   而且 至少 两个 个人 得 互相 相信 信任 并且 做出 相同 的 选择
260,#情侣同居房租该不该AA制#租个房都要跟女朋友AA制，这样的男人居然能找到女朋友？女人应该反思一下，好男人多的是，你们为什么要找这种男人当男朋友。,# 情侣 同居 房租 该不该 不该 AA 制 # 租 个 房 都 要 跟 女朋友 朋友 AA 制   这样 的 男人 人居 居然 能 找到 女朋友 朋友   女人 应该 反思 一下   好 男人 多 的 是   你们 为什么 什么 要 找 这种 男人 当 男朋友 朋友  
261,"#情侣同居房租该不该AA制# 这个问题，看似说的房租该不该AA，其实说的就是情侣间的消费观。

现如今的社会，无论是田园女权者的高呼，还是社会素质的进步，大家越来越认可男女平等，尊重女性，本就应该，但如果女性自己就不尊重女性，不知道该算到谁的头上去。

情侣同居，房租应该怎么算，无论男朋友 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 #  这个 问题   看似 说 的 房租 该不该 不该 AA  其实 实说 的 就是 情侣 间 的 消费 消费观  

 现如今 如今 的 社会   无论 无论是 田园 女权 者 的 高呼   还是 社会 素质 的 进步   大家 越来 越来越 认可 男女 男女平等 平等   尊重 女性   本 就 应该   但 如果 女性 自己 就 不 尊重 女性   不知 知道 该 算到 谁 的 头上 上去  

 情侣 同居   房租 应该 怎么 算   无论 男朋友 朋友      全文"
262,#情侣同居房租该不该AA制##恋爱#应该男方支付。 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 应该 男方 支付    网页 链接
263,"#情侣同居房租该不该AA制# 个人觉得的确不需要AA

但是我觉得女孩要是提一嘴没准儿男孩可能会有不一样的心理活动吧？

当然啦，家务应该一起做的，不能让女孩子一个人干，又不是给自己找了个妈… 北京·岳各庄北桥","# 情侣 同居 房租 该不该 不该 AA 制 #  个人 觉得 的确 不 需要 AA

 但是 我 觉得 女孩 要是 提 一 嘴 没准 没准儿 准儿 儿男 男孩 可能 会 有 不一 一样 的 心理 心理活动 活动 吧  

 当然 啦   家务 应该 一起 做 的   不能 让 女孩 女孩子 孩子 一个 个人 干   又 不是 给 自己 找 了 个 妈    北京   岳 各庄 北桥"
264,#情侣同居房租该不该AA制#不用一定的AA制，我觉得女生在别的地方补回来也行的,# 情侣 同居 房租 该不该 不该 AA 制 # 不用 一定 的 AA 制   我 觉得 女生 生在 别的 地方 补 回来 也 行 的
265,#情侣同居房租该不该AA制#看情况吧，不是非平均不可，但是心里要有数，单方长期付出肯定不行，也许在别的方面找平衡。社会契约论。,# 情侣 同居 房租 该不该 不该 AA 制 # 看 情况 吧   不是 是非 平均 不可   但是 心里 要 有数   单方 长期 付出 肯定 不行   也许 在 别的 方面 找平 平衡   社会 社会契约论 契约 论  
266,#情侣同居房租该不该AA制##恋爱#AA制最好，每个人都是独立的，为什么一定要让别人为自己付呢？不要说是情侣就算是夫妻也应该一起分担，女人不管在什么时候都应该经济独立，一定要做一个上得厅堂下得厨房的女人 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 #AA 制 最好   每个 个人 都 是 独立 的   为什么 什么 一定 定要 让 别人 人为 自己 付 呢   不要 要说 是 情侣 就算 算是 夫妻 也 应该 一起 分担   女人 不管 在 什么 时候 都 应该 经济 独立   一定 定要 做 一个 上得 厅堂 下得 厨房 的 女人   网页 链接
267,#情侣同居房租该不该AA制##恋爱#AA制最好，每个人都是独立的，为什么一定要让别人为自己付呢？不要说是情侣就算是夫妻也应该一起分担，女人不管在什么时候都应该经济独立，一定要做一个上得厅堂下得厨房的女人 情侣同居房租应该怎么算?是否该由男方付?,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 #AA 制 最好   每个 个人 都 是 独立 的   为什么 什么 一定 定要 让 别人 人为 自己 付 呢   不要 要说 是 情侣 就算 算是 夫妻 也 应该 一起 分担   女人 不管 在 什么 时候 都 应该 经济 独立   一定 定要 做 一个 上得 厅堂 下得 厨房 的 女人   情侣 同居 房租 应该 怎么 算   是否 该 由 男方 付  
268,#情侣同居房租该不该AA制##恋爱#首先恋爱过程中我觉得就不应该是平等的，别人手心里面的宝贝为什么到你这儿你就不能好好疼爱了，再有谈恋爱过程中开房能让女生付嘛？这不是涉及到金钱的问题，这是涉及态度方面的问题，所以出租也是一样 网页链接,# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 首先 恋爱 过程 中 我 觉得 就 不应 应该 该是 平等 的   别人 人手 手心 心里 里面 的 宝贝 为什么 什么 到 你 这儿 你 就 不能 好好 疼爱 了   再有 谈恋爱 恋爱 过程 中 开房 能 让 女生 付 嘛   这 不是 涉及 到 金钱 的 问题   这 是 涉及 态度 方面 的 问题   所以 出租 也 是 一样   网页 链接
269,"#情侣同居房租该不该AA制#

真爱是两个人都会去付出的 不会在乎 如果是直接摊开说要钱怎样怎样 会有点不能接受 一段感情 也不能说要男生一直付出 好的爱情肯定是两个人一起努力付出的 如果两个人都很计算 那很难走到最后吧","# 情侣 同居 房租 该不该 不该 AA 制 #

 真爱 是 两个 个人 都 会去 付出 的   不会 在乎   如果 是 直接 摊开 开说 要钱 怎样 怎样   会 有点 不能 接受   一段 感情   也 不能 说 要 男生 一直 付出   好 的 爱情 肯定 是 两个 个人 一起 努力 付出 的   如果 两个 个人 都 很 计算   那 很 难 走到 最后 吧"
270,#情侣同居房租该不该AA制#该。在一切都未明朗前，不要以为自己是占了对方的便宜，因为占便宜的最终都以吃亏作为结局,# 情侣 同居 房租 该不该 不该 AA 制 # 该   在 一切 都 未明 明朗 前   不要 要以 以为 自己 是 占 了 对方 的 便宜   因为 占便宜 便宜 的 最终 都 以 吃亏 作为 结局
271,#情侣同居房租该不该AA制#应该的，谁的钱也不是大风刮来的，而且是情侣又不是已经结婚了，个人财务还是自己的更应该分清，也避免养成惰性心理，如果不aa的话，那么另一方负责出一日三餐，水电费也是可以的，反正不能只让对方一个人出钱,# 情侣 同居 房租 该不该 不该 AA 制 # 应该 的   谁 的 钱 也 不是 大风 刮 来 的   而且 是 情侣 又 不是 已经 结婚 了   个人 财务 还是 自己 的 更 应该 分清   也 避免 养成 惰性 性心理 心理   如果 不 aa 的话   那么 另一方 一方 负责 出 一日 一日三餐 三餐   水电 水电费 电费 也 是 可以 的   反正 不能 只 让 对方 一个 个人 出钱
272,#情侣同居房租该不该AA制#房租水电可以aa，平常出去吃饭日常开销什么的你可以付吧，难道还回来跟我算账？,# 情侣 同居 房租 该不该 不该 AA 制 # 房租 水电 可以 aa  平常 出去 吃饭 日常 开销 什么 的 你 可以 付 吧   难道 还 回来 跟 我 算账  
273,自己一个人住不香吗，为什么有的情侣要同居呀#情侣同居房租该不该aa制#,自己 一个 个人 住 不 香 吗   为什么 什么 有 的 情侣 要同 同居 呀 # 情侣 同居 房租 该不该 不该 aa 制 #
274,"#情侣同居房租该不该AA制#
难道不应该考虑一下从哪才可以交到男（女）朋友？","# 情侣 同居 房租 该不该 不该 AA 制 #
 难道 不应 应该 考虑 考虑一下 一下 从 哪 才 可以 交到 男   女   朋友  "
275,#情侣同居房租该不该aa制#就该AA制 福州·闽侯万家广场,# 情侣 同居 房租 该不该 不该 aa 制 # 就 该 AA 制   福州   闽侯 万家 广场
276,"今日话题：#情侣同居房租该不该aa制#

这个话题有点可笑 刚在一起情侣约会基本男生买单
在一起久了单方经济压力肯定很大 可以你请吃饭电影我来付酒店开房开房的钱 这没问题
可同居了房租aa 是不是水电还要aa?结婚买房还要aa?彩礼还要aa嘛？","今日 话题  # 情侣 同居 房租 该不该 不该 aa 制 #

 这个 话题 有点 可笑   刚在 一起 情侣 约会 基本 男生 买单 
 在 一起 久 了 单方 经济 压力 肯定 很大   可以 你 请吃 吃饭 电影 我 来 付 酒店 开房 开房 的 钱   这 没 问题 
 可 同居 了 房租 aa  是不是 不是 水电 还要 aa  结婚 买房 还要 aa  彩礼 还要 aa 嘛  "
277,"【关于同居关系的相关问题解答！】同居关系是男女双方未办理婚姻登记而自愿、持续、稳定、公开地有性生活内容的共同生活在一起的社会关系。①同居关系等于事实婚姻吗？ ②同居期间发生暴力算家暴吗？ ③解除同居关系时财产如何分割？详见↓ ↓ ↓#情侣同居房租该不该aa制#
长图","  关于 同居 关系 的 相关 问题 问题解答 题解 解答    同居 关系 是 男女 男女双方 双方 未办 未办理 办理 婚姻 婚姻登记 登记 而 自愿   持续   稳定   公开 开地 有性 性生活 生活 内容 的 共同 同生 生活 在 一起 的 社会 社会关系 关系    同居 关系 等于 事实 事实婚 婚姻 吗     同居 期间 发生 暴力 算 家暴 吗     解除 同居 关系 时 财产 如何 分割   详见      # 情侣 同居 房租 该不该 不该 aa 制 #
 长 图"
278,#情侣同居房租该不该AA制#不该吧，买房子你买不起，租房子你也租不起，要你干啥用 青岛·青岛科技大学四方校区,# 情侣 同居 房租 该不该 不该 AA 制 # 不该 吧   买房 买房子 房子 你 买不起   租房 租房子 房子 你 也 租 不 起   要 你 干 啥 用   青岛   青岛 科技 大学 四方 校区
279,#情侣同居房租该不该AA制#开心就好，就怕又找接盘侠，只接受全新的女人，,# 情侣 同居 房租 该不该 不该 AA 制 # 开心 就 好   就 怕 又 找 接盘 侠   只 接受 全新 的 女人  
280,"#情侣同居房租该不该AA制##恋爱#按世俗房租应该是男人出，因为男人烙上烙印一一男人有当担。这是男人难做好男人更难。主客上还是偏向男人应该为房租埋单，男人吗，就应该有魄力去完成所有任务，包括为你的喜欢的女生付出的一切代价，这就是男人必备的硬件。
虽说现代人们，喜欢AA制，普通认为谁也欠 ...全文","# 情侣 同居 房租 该不该 不该 AA 制 ## 恋爱 # 按 世俗 房租 应该 该是 男人 出   因为 男人 烙 上 烙印 一一 男人 有 当 担   这 是 男人 难 做好 男人 更 难   主客 上 还是 偏向 男人 应该 为 房租 埋单   男人 吗   就 应该 有 魄力 去 完成 所有 任务   包括 为 你 的 喜欢 的 女生 付出 的 一切 代价   这 就是 男人 必备 的 硬件  
 虽说 现代 现代人 代人 人们   喜欢 AA 制   普通 认为 谁 也 欠      全文"
281,"#情侣同居房租该不该aa制#看两人相处模式吧，不是不aa就不好，看情况，男经济条件好女的差，就男的付，女的经济条件好男差 女付，都付得起就aa,有的男的自尊心强，也要在乎对方感受，他要付就付，个人相处模式就是能让自己和对方都不尴尬，心里舒服就行。(其实都成男女朋友了还住一起了，两人生活的经 ...全文",# 情侣 同居 房租 该不该 不该 aa 制 # 看 两 人 相处 模式 吧   不是 不 aa 就 不好   看 情况   男 经济 条件 好 女 的 差   就 男 的 付   女 的 经济 条件 好 男 差   女 付   都 付得 起 就 aa  有 的 男 的 自尊 自尊心 强   也 要 在乎 对方 感受   他 要付 就 付   个人 相处 模式 就是 能 让 自己 和 对方 都 不 尴尬   心里 舒服 就 行    其实 都 成 男女 男女朋友 女朋友 朋友 了 还 住 一起 了   两 人生 生活 的 经      全文
